Date,Twitch_Avg_Viewers,Twitch_Peak_Viewers
2026-01-19,4803,16274
2026-01-20,5225,15041
2026-01-21,6140,11623
2026-01-22,4677,8223
2026-01-23,4975,7945
2026-01-24,6426,12340
2026-01-25,7686,11992
2026-01-26,4595,8638
2026-01-27,4625,10495
2026-01-28,4464,9648
2026-01-29,3605,5740
2026-01-30,4233,7941
2026-01-31,3817,6326
2026-02-01,5883,10081
2026-02-02,4954,8051
2026-02-03,5261,29979
2026-02-04,8634,16284
2026-02-05,6104,15545
2026-02-06,4921,11272
2026-02-07,5976,11773
2026-02-08,6387,13779
2026-02-09,8946,16192
2026-02-10,6974,15958
2026-02-11,9225,16126
2026-02-12,5522,11578
2026-02-13,4452,8784
2026-02-14,5985,10958
2026-02-15,7885,12115
2026-02-16,4878,13891
2026-02-17,4465,12890
2026-02-18,5819,11883
2026-02-19,6378,13372
2026-02-20,4845,15076
2026-02-21,6791,13524
2026-02-22,10677,21260
2026-02-23,6387,22671
2026-02-24,5629,15124
2026-02-25,4564,15001
2026-02-26,4965,14277
2026-02-27,4023,16521
2026-02-28,2920,7828
2026-03-01,5445,17319
2026-03-02,4231,11365
2026-03-03,4869,21615
2026-03-04,4495,16775
2026-03-05,3548,7320
2026-03-06,3119,7731
2026-03-07,3449,12765
2026-03-08,4830,18324
2026-03-09,4147,10548
2026-03-10,10506,40926
2026-03-11,10922,34686
2026-03-12,10511,32983
2026-03-13,4126,9460
2026-03-14,5818,16634
2026-03-15,4513,9854
2026-03-16,4705,16558
2026-03-17,4918,15588
2026-03-18,4093,11248
2026-03-19,4905,14386
2026-03-20,4466,14083
2026-03-21,5014,13912
2026-03-22,5525,17450
2026-03-23,6251,23658
2026-03-24,5803,19696
2026-03-25,5330,16235
2026-03-26,6126,14385
2026-03-27,4136,8302
2026-03-28,5576,16802
2026-03-29,5947,10474
2026-03-30,6785,15655
2026-03-31,6763,11651
2026-04-01,5358,8152
2026-04-02,6875,13276
2026-04-03,8909,20162
2026-04-04,7719,14256
