Date,Avg_Player,Log_Player,Lag_Player,Discount_Ratio,Base_Price,Is_Weekend,Is_Holiday,Years_Since_Release,Trend_Index,Log_Twitch_Avg,Is_Major_Update,Is_Minor_Update
2021-12-19,14990.0,9.615205300012315,9.34215779659637,0.0,35.99,1,0,0.0027397260273972603,0.12,0.0,1,0
2021-12-20,14139.0,9.556762939450564,9.615205300012315,0.0,35.99,0,0,0.005479452054794521,0.12,0.0,1,0
2021-12-21,13759.0,9.529521111487334,9.556762939450564,0.0,35.99,0,0,0.00821917808219178,0.12,0.0,1,0
2021-12-22,13310.0,9.496346040047019,9.529521111487334,0.0,35.99,0,0,0.010958904109589041,0.12,0.0,1,0
2021-12-23,14620.0,9.590214130417438,9.496346040047019,0.0,35.99,0,0,0.0136986301369863,0.12,0.0,1,0
2021-12-24,13697.0,9.52500511575785,9.590214130417438,0.0,35.99,0,1,0.01643835616438356,0.12,0.0,1,0
2021-12-25,16707.0,9.723642925617066,9.52500511575785,0.0,35.99,1,1,0.019178082191780823,0.12,0.0,0,0
2021-12-26,19621.0,9.884406664723336,9.723642925617066,0.0,35.99,1,0,0.021917808219178082,0.12,0.0,0,0
2021-12-27,18708.0,9.836759970485419,9.884406664723336,0.0,35.99,0,0,0.024657534246575342,0.12,0.0,0,0
2021-12-28,17551.0,9.772923182515012,9.836759970485419,0.0,35.99,0,0,0.0273972602739726,0.12,0.0,0,0
2021-12-29,17830.0,9.788693794534046,9.772923182515012,0.0,35.99,0,0,0.030136986301369864,0.12,0.0,0,0
2021-12-30,17174.0,9.751210117090551,9.788693794534046,0.0,35.99,0,0,0.03287671232876712,0.12,0.0,0,0
2021-12-31,16356.0,9.702411219258526,9.751210117090551,0.0,35.99,0,1,0.03561643835616438,0.12,0.0,0,0
2022-01-01,17918.0,9.793616881400416,9.702411219258526,0.0,35.99,1,1,0.038356164383561646,0.12,0.0,0,0
2022-01-02,17278.0,9.757247170313121,9.793616881400416,0.0,35.99,1,0,0.0410958904109589,0.12,0.0,0,0
2022-01-03,15055.0,9.61953186182516,9.757247170313121,0.0,35.99,0,0,0.043835616438356165,0.12,0.0,0,0
2022-01-04,13411.0,9.50390510758612,9.61953186182516,0.0,35.99,0,0,0.04657534246575343,0.12,0.0,0,0
2022-01-05,12044.0,9.396404915048972,9.50390510758612,0.0,35.99,0,0,0.049315068493150684,0.12,0.0,0,0
2022-01-06,11625.0,9.360999248261296,9.396404915048972,0.0,35.99,0,0,0.052054794520547946,0.12,0.0,0,0
2022-01-07,12258.0,9.414015640094995,9.360999248261296,0.0,35.99,0,0,0.0547945205479452,0.12,0.0,0,0
2022-01-08,14063.0,9.551373619924957,9.414015640094995,0.0,35.99,1,0,0.057534246575342465,0.12,0.0,0,0
2022-01-09,13445.0,9.506436943028982,9.551373619924957,0.0,35.99,1,0,0.06027397260273973,0.12,0.0,0,0
2022-01-10,10325.0,9.242420265439595,9.506436943028982,0.0,35.99,0,0,0.06301369863013699,0.12,0.0,0,0
2022-01-11,10307.0,9.240675571772256,9.242420265439595,0.0,35.99,0,0,0.06575342465753424,0.12,0.0,0,0
