Date,Avg_Player,Log_Player,Lag_Player,Discount_Ratio,Base_Price,Is_Weekend,Is_Holiday,Years_Since_Release,Trend_Index,Log_Twitch_Avg,Is_Major_Update,Is_Minor_Update,Lag_7_Player,Interaction_Discount_Time,Interaction_Update_Time
2022-03-04,858316.0,13.662728774104593,13.618183377831066,0.0,59.99,0,0,0.021917808219178,0.2,11.21613537348772,0,0,13.547416710741224,0.0,0.0
2022-03-05,953426.0,13.76781814104979,13.662728774104593,0.0,59.99,1,0,0.0246575342465753,0.2,10.28045030017158,0,0,13.66647560380359,0.0,0.0
2022-03-06,944190.0,13.758083755170055,13.76781814104979,0.0,59.99,1,0,0.0273972602739726,0.2,9.655410734676709,0,0,13.700816621125371,0.0,0.0
2022-03-07,801048.0,13.593677397712556,13.758083755170055,0.0,59.99,0,0,0.0301369863013698,0.2,10.051174530434894,0,0,13.616015171555771,0.0,0.0
2022-03-08,779297.0,13.56614879342261,13.593677397712556,0.0,59.99,0,0,0.0328767123287671,0.2,8.730690365678642,0,0,13.626770848823417,0.0,0.0
2022-03-09,738122.0,13.51186575636193,13.56614879342261,0.0,59.99,0,0,0.0356164383561643,0.2,8.62371303479391,0,0,13.621352829236132,0.0,0.0
2022-03-10,703725.0,13.464144354834978,13.51186575636193,0.0,59.99,0,0,0.0383561643835616,0.2,8.383661798791715,0,0,13.618183377831066,0.0,0.0
2022-03-11,730458.0,13.501428382656636,13.464144354834978,0.0,59.99,0,0,0.0410958904109589,0.2,8.272826003650401,0,0,13.662728774104593,0.0,0.0
2022-03-12,825277.0,13.62347557825225,13.501428382656636,0.0,59.99,1,0,0.0438356164383561,0.2,8.248790733696413,0,0,13.76781814104979,0.0,0.0
2022-03-13,800301.0,13.592744435414867,13.62347557825225,0.0,59.99,1,0,0.0465753424657534,0.2,8.19793788912535,0,0,13.758083755170055,0.0,0.0
2022-03-14,635680.0,13.362452144165738,13.592744435414867,0.0,59.99,0,0,0.0493150684931506,0.2,8.144359829121424,0,0,13.593677397712556,0.0,0.0
2022-03-15,610847.0,13.322603434700628,13.362452144165738,0.0,59.99,0,0,0.0520547945205479,0.2,8.087747841921074,0,0,13.56614879342261,0.0,0.0
2022-03-16,589570.0,13.28715043275886,13.322603434700628,0.0,59.99,0,0,0.0547945205479452,0.2,8.027737593386439,0,0,13.51186575636193,0.0,0.0
2022-03-17,587284.0,13.283265500574874,13.28715043275886,0.0,59.99,0,0,0.0575342465753424,0.2,7.96389490597269,1,0,13.464144354834978,0.0,0.0575342465753424
2022-03-18,611562.0,13.323773254150124,13.283265500574874,0.0,59.99,0,0,0.0602739726027397,0.2,7.895696680599644,1,0,13.501428382656636,0.0,0.0602739726027397
2022-03-19,712336.0,13.476306393022828,13.323773254150124,0.0,59.99,1,0,0.0630136986301369,0.2,7.822504823837463,1,0,13.62347557825225,0.0,0.0630136986301369
2022-03-20,694446.0,13.450871124369593,13.476306393022828,0.0,59.99,1,0,0.0657534246575342,0.2,7.743529857791838,1,0,13.592744435414867,0.0,0.0657534246575342
2022-03-21,529881.0,13.18040961923057,13.450871124369593,0.0,59.99,0,0,0.0684931506849315,0.2,7.6577788891837795,1,0,13.362452144165738,0.0,0.0684931506849315
2022-03-22,507115.0,13.136495053247495,13.18040961923057,0.0,59.99,0,0,0.0712328767123287,0.2,7.563979105437484,1,0,13.322603434700628,0.0,0.0712328767123287
2022-03-23,464532.0,13.048787878845992,13.136495053247495,0.0,59.99,0,0,0.073972602739726,0.2,7.460461536711856,1,0,13.28715043275886,0.0,0.073972602739726
2022-03-24,468107.0,13.05645431750743,13.048787878845992,0.0,59.99,0,0,0.0767123287671232,0.2,7.344977418703492,1,0,13.283265500574874,0.0,0.0767123287671232
2022-03-25,480052.0,13.081651793455269,13.05645431750743,0.0,59.99,0,0,0.0794520547945205,0.2,7.214394032783407,0,0,13.323773254150124,0.0,0.0
2022-03-26,563389.0,13.241727384888115,13.081651793455269,0.0,59.99,1,0,0.0821917808219178,0.2,7.0641605581462725,0,0,13.476306393022828,0.0,0.0
2022-03-27,546667.0,13.211596950153687,13.241727384888115,0.0,59.99,1,0,0.084931506849315,0.2,6.887297437079741,0,0,13.450871124369593,0.0,0.0
2022-03-28,414946.0,12.935906080213737,13.211596950153687,0.0,59.99,0,0,0.0876712328767123,0.2,6.67228607797729,0,0,13.18040961923057,0.0,0.0
2022-03-29,399484.0,12.897931496549896,12.935906080213737,0.0,59.99,0,0,0.0904109589041095,0.2,6.398012402167383,0,0,13.136495053247495,0.0,0.0
2022-03-30,378861.0,12.844927301663216,12.897931496549896,0.0,59.99,0,0,0.0931506849315068,0.2,6.018836493903833,0,0,13.048787878845992,0.0,0.0
2022-03-31,368498.0,12.81719327690364,12.844927301663216,0.0,59.99,0,0,0.0958904109589041,0.2,5.400648297645497,0,0,13.05645431750743,0.0,0.0
2022-04-01,375625.0,12.836349246497683,12.81719327690364,0.0,59.99,0,0,0.0986301369863013,0.2,3.4657359027997265,0,0,13.081651793455269,0.0,0.0
2022-04-02,455103.0,13.028281243243189,12.836349246497683,0.0,59.99,1,0,0.1013698630136986,0.2,4.204692619390966,0,0,13.241727384888115,0.0,0.0
2022-04-03,457182.0,13.03283902735935,13.028281243243189,0.0,59.99,1,0,0.1041095890410958,0.2,12.593909959676752,0,0,13.211596950153687,0.0,0.0
2022-04-04,339322.0,12.734707735094423,13.03283902735935,0.0,59.99,0,0,0.1068493150684931,0.2,11.151453318547691,0,0,12.935906080213737,0.0,0.0
2022-04-05,317968.0,12.669709172733683,12.734707735094423,0.0,59.99,0,0,0.1095890410958904,0.2,10.364860292582588,0,0,12.897931496549896,0.0,0.0
2022-04-06,300169.0,12.612104259810078,12.669709172733683,0.0,59.99,0,0,0.1123287671232876,0.2,9.44034036408688,0,0,12.844927301663216,0.0,0.0
2022-04-07,287677.0,12.56959707807215,12.612104259810078,0.0,59.99,0,0,0.1150684931506849,0.2,8.714731714015052,0,0,12.81719327690364,0.0,0.0
2022-04-08,305294.0,12.629033801255089,12.56959707807215,0.0,59.99,0,0,0.1178082191780822,0.2,9.168058979719577,0,0,12.836349246497683,0.0,0.0
2022-04-09,367780.0,12.815242931307951,12.629033801255089,0.0,59.99,1,0,0.1205479452054794,0.2,9.115480090952223,0,0,13.028281243243189,0.0,0.0
2022-04-10,349862.0,12.765296928266007,12.815242931307951,0.0,59.99,1,0,0.1232876712328767,0.2,8.557182839632397,0,0,13.03283902735935,0.0,0.0
2022-04-11,258031.0,12.460838887220296,12.765296928266007,0.0,59.99,0,0,0.1260273972602739,0.2,8.472823243680297,0,0,12.734707735094423,0.0,0.0
2022-04-12,245836.0,12.412423993671009,12.460838887220296,0.0,59.99,0,0,0.1287671232876712,0.2,8.26796230533871,0,0,12.669709172733683,0.0,0.0
2022-04-13,234880.0,12.366834281892412,12.412423993671009,0.0,59.99,0,0,0.1315068493150684,0.2,8.214422416278559,0,0,12.612104259810078,0.0,0.0
2022-04-14,234557.0,12.365458171041071,12.366834281892412,0.0,59.99,0,0,0.1342465753424657,0.2,8.157853044842815,0,0,12.56959707807215,0.0,0.0
2022-04-15,269911.0,12.505851258929187,12.365458171041071,0.0,59.99,0,0,0.136986301369863,0.2,8.097890681256864,0,0,12.629033801255089,0.0,0.0
2022-04-16,282119.0,12.550087791322115,12.505851258929187,0.0,59.99,1,0,0.1397260273972602,0.2,8.034102189627516,0,0,12.815242931307951,0.0,0.0
2022-04-17,266656.0,12.493718467324907,12.550087791322115,0.0,59.99,1,0,0.1424657534246575,0.2,7.965965806457024,0,0,12.765296928266007,0.0,0.0
2022-04-18,239831.0,12.387693957209734,12.493718467324907,0.0,59.99,0,0,0.1452054794520547,0.2,7.892845179373508,0,0,12.460838887220296,0.0,0.0
2022-04-19,198248.0,12.197279095348181,12.387693957209734,0.0,59.99,0,0,0.147945205479452,0.2,7.813953143529494,1,0,12.412423993671009,0.0,0.147945205479452
2022-04-20,202328.0,12.217650364340228,12.197279095348181,0.0,59.99,0,0,0.1506849315068493,0.2,7.728299946594454,1,0,12.366834281892412,0.0,0.1506849315068493
2022-04-21,196417.0,12.188000320397427,12.217650364340228,0.0,59.99,0,0,0.1534246575342465,0.2,7.634617151655339,1,0,12.365458171041071,0.0,0.1534246575342465
2022-04-22,205469.0,12.23305531686006,12.188000320397427,0.0,59.99,0,0,0.1561643835616438,0.2,7.531242072082825,1,0,12.505851258929187,0.0,0.1561643835616438
2022-04-23,238625.0,12.382652751695014,12.23305531686006,0.0,59.99,1,0,0.1589041095890411,0.2,7.415935300964718,1,0,12.550087791322115,0.0,0.1589041095890411
2022-04-24,237493.0,12.37789763897982,12.382652751695014,0.0,59.99,1,0,0.1616438356164383,0.2,7.285578693389709,1,0,12.493718467324907,0.0,0.1616438356164383
2022-04-25,172305.0,12.057027244892884,12.37789763897982,0.0,59.99,0,0,0.1643835616438356,0.2,7.135645442026775,1,0,12.387693957209734,0.0,0.1643835616438356
2022-04-26,161863.0,11.99451175545903,12.057027244892884,0.0,59.99,0,0,0.1671232876712328,0.2,6.959198562120813,1,0,12.197279095348181,0.0,0.1671232876712328
2022-04-27,151887.0,11.93089868612158,11.99451175545903,0.0,59.99,0,0,0.1698630136986301,0.2,6.744802818991089,0,0,12.217650364340228,0.0,0.0
2022-04-28,147793.0,11.903574691273034,11.93089868612158,0.0,59.99,0,0,0.1726027397260274,0.2,6.471532492372654,0,0,12.188000320397427,0.0,0.0
2022-04-29,156014.0,11.957707435455344,11.903574691273034,0.0,59.99,0,0,0.1753424657534246,0.2,6.094282359148923,0,0,12.23305531686006,0.0,0.0
2022-04-30,190421.0,12.15699794088294,11.957707435455344,0.0,59.99,1,0,0.1780821917808219,0.2,5.481296601760962,0,0,12.382652751695014,0.0,0.0
2022-05-01,193468.0,12.17287257189916,12.15699794088294,0.0,59.99,1,0,0.1808219178082191,0.2,3.610917912644224,0,0,12.37789763897982,0.0,0.0
2022-05-02,148370.0,11.907471172829116,12.17287257189916,0.0,59.99,0,0,0.1835616438356164,0.2,4.23410650459726,0,0,12.057027244892884,0.0,0.0
2022-05-03,139215.0,11.843781962805807,11.907471172829116,0.0,59.99,0,0,0.1863013698630137,0.2,12.55876266017422,0,0,11.99451175545903,0.0,0.0
2022-05-04,126122.0,11.745012900245742,11.843781962805807,0.0,59.99,0,0,0.1890410958904109,0.2,11.126659861139643,0,0,11.93089868612158,0.0,0.0
2022-05-05,122864.0,11.718841470617813,11.745012900245742,0.0,59.99,0,0,0.1917808219178082,0.2,10.307217823350577,0,0,11.903574691273034,0.0,0.0
2022-05-06,126523.0,11.748187292474677,11.718841470617813,0.0,59.99,0,0,0.1945205479452054,0.2,9.597641509456675,0,0,11.957707435455344,0.0,0.0
2022-05-07,158782.0,11.975293769167877,11.748187292474677,0.0,59.99,1,0,0.1972602739726027,0.2,9.008346579384709,0,0,12.15699794088294,0.0,0.0
2022-05-08,152245.0,11.933252912649017,11.975293769167877,0.0,59.99,1,0,0.2,0.2,8.90815361332152,0,0,12.17287257189916,0.0,0.0
2022-05-09,110981.0,11.617123304982604,11.933252912649017,0.0,59.99,0,0,0.2027397260273972,0.2,9.31271643859305,0,0,11.907471172829116,0.0,0.0
2022-05-10,107748.0,11.58755972718047,11.617123304982604,0.0,59.99,0,0,0.2054794520547945,0.2,8.75273950944749,0,0,11.843781962805807,0.0,0.0
2022-05-11,102381.0,11.53646619488621,11.58755972718047,0.0,59.99,0,0,0.2082191780821917,0.2,8.278174290943738,0,0,11.745012900245742,0.0,0.0
2022-05-12,99343.0,11.506343853604674,11.53646619488621,0.0,59.99,0,0,0.210958904109589,0.2,8.790573479157159,0,0,11.718841470617813,0.0,0.0
2022-05-13,106998.0,11.58057476760598,11.506343853604674,0.0,59.99,0,0,0.2136986301369863,0.2,8.739592465825094,0,0,11.748187292474677,0.0,0.0
2022-05-14,128222.0,11.76152621455345,11.58057476760598,0.0,59.99,1,0,0.2164383561643835,0.2,8.685872109169033,0,0,11.975293769167877,0.0,0.0
2022-05-15,127344.0,11.754655217760117,11.76152621455345,0.0,59.99,1,0,0.2191780821917808,0.2,8.62910122521845,0,0,11.933252912649017,0.0,0.0
2022-05-16,92721.0,11.437361048100238,11.754655217760117,0.0,59.99,0,0,0.2219178082191781,0.2,8.56891239509155,0,0,11.617123304982604,0.0,0.0
2022-05-17,88789.0,11.394029310026372,11.437361048100238,0.0,59.99,0,0,0.2246575342465753,0.2,8.5048675417256,0,0,11.58755972718047,0.0,0.0
2022-05-18,86217.0,11.364634251557947,11.394029310026372,0.0,59.99,0,0,0.2273972602739726,0.2,8.436438563721103,0,0,11.53646619488621,0.0,0.0
2022-05-19,83155.0,11.328473640767005,11.364634251557947,0.0,59.99,0,0,0.2301369863013698,0.2,8.362980843020846,0,0,11.506343853604674,0.0,0.0
2022-05-20,89290.0,11.399655977910975,11.328473640767005,0.0,59.99,0,0,0.2328767123287671,0.2,8.283696228022537,0,0,11.58057476760598,0.0,0.0
2022-05-21,108490.0,11.594422499213412,11.399655977910975,0.0,59.99,1,0,0.2356164383561644,0.2,8.197580038427851,0,0,11.76152621455345,0.0,0.0
2022-05-22,106427.0,11.575223979164452,11.594422499213412,0.0,59.99,1,0,0.2383561643835616,0.2,8.103343026773633,0,0,11.754655217760117,0.0,0.0
2022-05-23,81727.0,11.31115193939221,11.575223979164452,0.0,59.99,0,0,0.2410958904109589,0.2,7.9992925989782835,0,0,11.437361048100238,0.0,0.0
2022-05-24,75594.0,11.233145422414301,11.31115193939221,0.0,59.99,0,0,0.2438356164383561,0.2,7.883144763243498,0,0,11.394029310026372,0.0,0.0
2022-05-25,73972.0,11.211455440742062,11.233145422414301,0.0,59.99,0,0,0.2465753424657534,0.2,7.75171184918554,0,0,11.364634251557947,0.0,0.0
2022-05-26,80599.0,11.297253928494719,11.211455440742062,0.0,59.99,0,0,0.2493150684931507,0.2,7.600352308236602,0,0,11.328473640767005,0.0,0.0
2022-05-27,82817.0,11.324400708051634,11.297253928494719,0.0,59.99,0,0,0.2520547945205479,0.2,7.421925303998518,0,0,11.399655977910975,0.0,0.0
2022-05-28,101265.0,11.525505997175557,11.324400708051634,0.0,59.99,1,0,0.2547945205479452,0.2,7.204595289218684,0,0,11.594422499213412,0.0,0.0
2022-05-29,99061.0,11.503501195722388,11.525505997175557,0.0,59.99,1,0,0.2575342465753424,0.2,6.926527964305421,0,0,11.575223979164452,0.0,0.0
2022-05-30,92058.0,11.430184954831244,11.503501195722388,0.0,59.99,0,1,0.2602739726027397,0.2,6.54001938768398,0,0,11.31115193939221,0.0,0.0
2022-05-31,73505.0,11.205122314522226,11.430184954831244,0.0,59.99,0,0,0.2630136986301369,0.2,5.901676591716962,0,0,11.233145422414301,0.0,0.0
2022-06-01,68870.0,11.139990468543681,11.205122314522226,0.0,59.99,0,0,0.2657534246575342,0.2,3.6635616461296463,0,0,11.211455440742062,0.0,0.0
2022-06-02,71525.0,11.177816298946057,11.139990468543681,0.0,59.99,0,0,0.2684931506849315,0.2,4.382026634673881,0,0,11.297253928494719,0.0,0.0
2022-06-03,74568.0,11.219480150229336,11.177816298946057,0.0,59.99,0,0,0.2712328767123287,0.2,12.413537932657784,0,0,11.324400708051634,0.0,0.0
2022-06-04,87387.0,11.378113252445983,11.219480150229336,0.0,59.99,1,0,0.273972602739726,0.2,11.164445422344722,0,0,11.525505997175557,0.0,0.0
2022-06-05,88609.0,11.391999997041347,11.378113252445983,0.0,59.99,1,0,0.2767123287671232,0.2,10.264826602601737,0,0,11.503501195722388,0.0,0.0
2022-06-06,73812.0,11.209290146837182,11.391999997041347,0.0,59.99,0,0,0.2794520547945205,0.2,9.579971027075132,0,0,11.430184954831244,0.0,0.0
2022-06-07,63803.0,11.06357116329234,11.209290146837182,0.0,59.99,0,0,0.2821917808219178,0.2,8.840724916761715,0,0,11.205122314522226,0.0,0.0
2022-06-08,62093.0,11.036404644896228,11.06357116329234,0.0,59.99,0,0,0.284931506849315,0.2,8.542080906924017,0,0,11.139990468543681,0.0,0.0
2022-06-09,59878.0,11.000081138327317,11.036404644896228,0.0,59.99,0,0,0.2876712328767123,0.2,9.292012520620208,0,0,11.177816298946057,0.0,0.0
2022-06-10,62770.0,11.047248462361992,11.000081138327317,0.0,59.99,0,0,0.2904109589041095,0.2,8.803123730829212,0,0,11.219480150229336,0.0,0.0
2022-06-11,76917.0,11.250495198324641,11.047248462361992,0.0,59.99,1,0,0.2931506849315068,0.2,8.577535420422398,0,0,11.378113252445983,0.0,0.0
2022-06-12,77475.0,11.25772348996213,11.250495198324641,0.0,59.99,1,0,0.2958904109589041,0.2,8.768885326134864,0,0,11.391999997041347,0.0,0.0
2022-06-13,56575.0,10.943340145997315,11.25772348996213,0.0,59.99,0,0,0.2986301369863013,0.2,8.715146322043656,0,0,11.209290146837182,0.0,0.0
2022-06-14,54643.0,10.908594698007377,10.943340145997315,0.0,59.99,0,0,0.3013698630136986,0.2,8.658354611731067,0,0,11.06357116329234,0.0,0.0
2022-06-15,52494.0,10.868473205949043,10.908594698007377,0.0,59.99,0,0,0.3041095890410959,0.2,8.5981423707113,0,0,11.036404644896228,0.0,0.0
2022-06-16,54636.0,10.908466587905721,10.868473205949043,0.0,59.99,0,0,0.3068493150684931,0.2,8.534071008987754,0,0,11.000081138327317,0.0,0.0
2022-06-17,55629.0,10.926477903069339,10.908466587905721,0.0,59.99,0,0,0.3095890410958904,0.2,8.465611766880523,0,0,11.047248462361992,0.0,0.0
2022-06-18,66351.0,11.102729182486163,10.926477903069339,0.0,59.99,1,0,0.3123287671232876,0.2,8.392119167298047,0,0,11.250495198324641,0.0,0.0
2022-06-19,66906.0,11.111058874424351,11.102729182486163,0.0,59.99,1,1,0.3150684931506849,0.2,8.312793916004228,0,0,11.25772348996213,0.0,0.0
2022-06-20,55272.0,10.920039822348286,11.111058874424351,0.0,59.99,0,1,0.3178082191780822,0.2,8.226629778905735,0,0,10.943340145997315,0.0,0.0
2022-06-21,51013.0,10.839855383839462,10.920039822348286,0.0,59.99,0,0,0.3205479452054794,0.2,8.132335340363259,0,0,10.908594698007377,0.0,0.0
2022-06-22,48571.0,10.790802512173709,10.839855383839462,0.0,59.99,0,0,0.3232876712328767,0.2,8.028214886764385,0,0,10.868473205949043,0.0,0.0
2022-06-23,46994.0,10.757796492054402,10.790802512173709,0.0,59.99,0,0,0.3260273972602739,0.2,7.911979769338835,0,0,10.908466587905721,0.0,0.0
